,cpu,mem
351,687.37,23.80
352,101.97,23.80
353,101.97,23.80
354,100.32,19.69
355,100.32,19.69
356,100.35,18.47
357,100.35,18.47
358,100.86,22.02
359,100.86,22.02
360,100.34,33.15
361,100.34,33.15
362,716.10,33.30
363,716.10,33.30
364,779.71,33.30
365,779.71,33.30
366,769.26,33.30
367,769.26,33.30
368,787.33,33.30
369,787.33,33.30
370,779.76,33.30
371,779.76,33.30
372,777.50,33.30
373,777.50,33.30
374,773.73,33.30
375,773.73,33.30
376,779.64,33.30
377,779.64,33.30
378,784.21,33.30
379,784.21,33.30
380,772.75,33.30
381,772.75,33.30
382,782.24,33.30
383,782.24,33.30
384,782.24,33.30
385,731.11,35.12
386,731.11,35.12
387,115.73,41.57
388,115.73,41.57
389,100.16,42.06
390,100.16,42.06
391,316.12,12.10
392,316.12,12.10
393,243.64,7.03
394,243.64,7.03
395,100.11,14.66
396,100.11,14.66
397,767.92,14.68
398,767.92,14.68
399,779.97,14.68
400,779.97,14.68
401,778.07,14.68
402,778.07,14.68
403,777.30,14.68
404,777.30,14.68
405,210.43,19.00
406,210.43,19.00
407,100.23,17.45
408,100.23,17.45
409,101.00,17.60
410,101.00,17.60
411,100.50,21.13
412,100.50,21.13
413,100.07,27.83
414,100.07,27.83
415,629.97,33.61
416,629.97,33.61
417,780.00,33.61
418,780.00,33.61
419,779.83,33.61
420,779.83,33.61
421,778.60,33.61
422,778.60,33.61
423,779.41,33.60
424,779.41,33.60
425,780.14,33.60
426,780.14,33.60
427,778.62,33.60
428,778.62,33.60
429,778.92,33.60
430,778.92,33.60
431,777.93,33.60
432,777.93,33.60
433,782.93,33.60
434,782.93,33.60
435,777.80,33.60
436,777.80,33.60
437,777.80,33.60
438,776.06,33.60
439,776.06,33.60
440,451.64,42.57
441,451.64,42.57
442,100.14,42.80
443,100.14,42.80
444,100.46,43.03
445,100.46,43.03
446,160.92,15.25
447,160.92,15.25
448,778.16,15.25
449,778.16,15.25
450,160.87,6.41
451,160.87,6.41
452,325.82,11.63
453,325.82,11.63
454,781.75,11.63
455,781.75,11.63
456,778.94,11.63
457,778.94,11.63
458,230.27,7.44
459,230.27,7.44
460,99.20,13.92
461,99.20,13.92
462,100.23,17.35
463,100.23,17.35
464,100.09,20.85
465,100.09,20.85
466,100.12,31.44
467,100.12,31.44
468,742.91,32.88
469,742.91,32.88
470,780.89,32.87
471,780.89,32.87
472,777.69,32.87
473,777.69,32.87
474,779.41,32.88
475,779.41,32.88
476,776.13,32.87
477,776.13,32.87
478,781.58,32.87
479,781.58,32.87
480,780.04,32.87
481,780.04,32.87
482,778.58,32.87
483,778.58,32.87
484,777.90,32.87
485,777.90,32.87
486,779.40,32.87
487,779.40,32.87
488,779.01,32.87
489,779.01,32.87
490,781.57,32.87
491,781.57,32.87
492,466.11,39.47
493,466.11,39.47
494,100.83,42.49
495,100.83,42.49
496,100.83,42.49
497,100.58,42.51
498,100.58,42.51
499,99.90,14.41
500,99.90,14.41
501,421.12,18.70
502,421.12,18.70
503,776.99,18.70
504,776.99,18.70
505,503.04,21.40
506,503.04,21.40
507,181.44,9.00
508,181.44,9.00
509,789.23,9.00
510,789.23,9.00
511,138.85,10.09
512,138.85,10.09
513,100.20,14.44
514,100.20,14.44
515,100.72,17.91
516,100.72,17.91
517,100.21,21.40
518,100.21,21.40
519,412.73,31.63
520,412.73,31.63
521,780.19,31.63
522,780.19,31.63
523,782.07,31.63
524,782.07,31.63
525,775.41,31.63
526,775.41,31.63
527,780.33,31.63
528,780.33,31.63
529,779.27,31.63
530,779.27,31.63
531,779.56,31.63
532,779.56,31.63
